area_identity,area_deletion,area,type,latitude,longitude,parent_identity,photo_identity
33869d87-05dc-4728-a03a-c94cbab80292,False,Belgravia,area,51.497189362627,-0.15312444757987,46d55da1-a72f-4221-bddc-676473092b49,48e727ee-6267-42fc-ba5b-be124326c01a
a8270094-1d5b-4558-a1d0-5be568497233,False,Shepherds Bush,area,51.50616,-0.22483,6e1f4a8e-094c-4453-810d-a9a871de29c4,758baa09-e7dc-4c22-b05b-f70c37af0269
632602fe-f847-4e12-9e03-31e3d22aa344,False,Mayfair,area,51.51334,-0.14812,46d55da1-a72f-4221-bddc-676473092b49,8cd1557c-c884-4e5f-a15a-0d110748a24f
1676a419-f2d0-4bf4-a5ae-569fea25e991,False,Soho,area,51.51489,-0.13645,46d55da1-a72f-4221-bddc-676473092b49,fd088478-cc9e-4599-854b-034633db4838
f25607ca-ec88-46dc-a1f3-b8dedd3e5ca3,False,Marleybone,area,51.51996,-0.14958,46d55da1-a72f-4221-bddc-676473092b49,e99686ed-6e72-4a20-9350-cc7271d7d5bc
8e74a1f3-b8fc-4986-a520-0884eb581cb7,False,Finsbury Park,area,51.56598,-0.10504,6f1fe7e4-3c54-4cfd-aae2-03692419e90e,7cf30976-12ab-4ce7-a874-912752d21eb4
8d7a9d04-eea3-45d7-a17c-e5271cbc1fa4,False,Bloomsbury,area,51.521986943217,-0.12905768354179,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,5ac36d52-fed0-43a1-badf-28e5ed764b01
87fbc59f-9c44-4e78-b4b5-000ef3b4d559,False,Holborn,area,51.51856,-0.11452,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,2f77f48f-a4e9-4ae8-960d-d9ae6c3294fd
5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,False,Covent Garden,area,51.51318,-0.12426,46d55da1-a72f-4221-bddc-676473092b49,bb0f90f0-e695-4922-8f3e-5e6a86557f35
87b4b121-bf17-44e7-805a-a860f9ee4b33,False,Farringdon,area,51.5229,-0.10435,71f589fb-f617-48b9-b779-dc1e8d73b1fe,fb3ad85f-bbd3-464e-9660-a15b55e8fa4d
480fafaa-7b2b-4282-a14f-e226e0b20922,False,Shoreditch,area,51.52383,-0.07545,0a941967-b023-429d-8f0e-e8e6b3d02402,0ef4d0c7-91d4-4128-9115-ead6ebef2be9
031970b0-c0f6-450a-8515-4129c30f3302,False,Bethnal Green,area,51.53225,-0.04813,0a941967-b023-429d-8f0e-e8e6b3d02402,de769202-e6da-4ba7-95e4-ebcc9efd3c72
be3be431-d8c0-4327-83e7-4718f2d97d97,False,Walthamstow,area,51.59072,-0.01736,b7a4cf4e-05f0-4dac-949a-cb99d8cb8a7e,f5f4ad9b-94c0-4726-89fe-2aafdb7de9cd
71f589fb-f617-48b9-b779-dc1e8d73b1fe,False,City,borough,51.51382,-0.0913,9a1922f6-0f90-4039-81a9-3b3a485f0eb8,b5b1f699-385d-496a-85ca-92b1814d3a46
8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,False,Camden,borough,51.54063,-0.1428,2462a123-156f-4959-871a-3d5246509f3f,d0eb7a72-5025-45be-9e57-9c3c477819c2
16240ef3-d2e9-4d02-bd79-fabaf2147ff3,False,Hackney,borough,51.545,-0.0553,577cffa7-03ea-4d0f-8615-0b625e01e3ca,0402e233-536c-4340-ab69-4c0e69344bf0
31e94930-b83f-4fed-914f-23c75fb14cae,False,South Bank,area,51.5049,-0.1136,,9a993db8-af68-47da-8ad8-b072bb40ef88
9bc188bd-c112-456f-bfcf-5c31030b2d24,False,Rickmansworth,area,51.64444,-0.47316,0,1c4d2d05-f2d7-46c6-84a8-9d994d5e785d
d6404801-5f6d-4fcd-b998-45bc07588574,False,Hammersmith,area,51.49203,-0.22393,0,336ce42b-5387-417a-8c0a-eb5ebde75661
fa6b3525-c4d4-4a9c-b10c-6f097fa658ec,False,Loughton,area,51.65746,0.06806,0,24d2b966-aef5-4e45-8f1c-c06b288c9e03
7b9db47d-0a1c-429c-9608-711ed711e845,False,Islington,area,51.5406,-0.10313,0,56ed80b2-ccf7-4f50-a4f9-9336b65d5e41
95a37f36-5b87-4eb8-b1d8-2aba80c64d7a,False,Rotherhithe,area,51.49731,-0.0412,0,60a97291-2183-40df-ab56-5b7416cccdd4
1c66e2c9-d99f-479f-8fcd-95a55d380678,False,Wapping,area,51.50821,-0.05875,0,a2fb86ba-5cb0-4228-8478-191a834ee76e
9396d9ef-c062-4530-b395-5bae8304c034,False,Elephant and Castle,area,51.49689,-0.10051,0,34efd5bf-751c-4b5a-9350-a4a5348c9259
4670ba4f-8ece-457e-ac1d-b7ab9c8bc4eb,False,Dalston,area,51.54668,-0.07498,0,366e187b-1415-4f30-8689-eb2b9ffa5c43
ad43afd8-c0fb-4f48-a782-4d62270ca145,False,Clapton,area,51.55682,-0.05529,0,62988908-e318-4f7f-a79f-d19e4a919cc0
3765283d-ade4-45d8-b3fa-2121fc7776ad,False,Bermondsey,area,51.49354,-0.06539,0,83a95871-80c6-4007-947a-450d7c33da36
75808b33-a6d6-4e79-bc63-cce0831d36a9,False,London Bridge,area,51.50337,-0.0877,0,b9ecca89-5b0b-4c09-8a7f-e159688c0f77
8aed4e72-6690-4915-88c7-a7047131bf7e,False,Clapham,area,51.45654,-0.13876,0,f2b83fc5-bedd-4705-9a4e-e0a870e9ad29
def450bf-c4cf-488e-9602-95a28f6d7020,False,Battersea,area,51.4722,-0.1655,,0db87051-e519-4c85-a20f-410c6f5bcda0
b6fba238-e15d-4046-add2-5cbd96c5213d,False,Brixton,area,51.4613,-0.1156,0,01ed7afe-b255-43ff-a32e-6d0df3ce6857
3604053e-7d97-4da1-a00f-e65844248107,False,Hampstead,area,51.5556,-0.1762,0,28055230-88b6-44a9-b9fa-f029bb9a198c
27f06f5f-2248-4b0c-b597-1b12a4164209,False,Putney,area,51.4596,-0.2141,0,495d3b4a-76f8-4dcb-9456-436a783697db
3738367d-e50c-45bb-b380-6a2c3b13572a,False,Stratford,area,51.5426,-0.001,0,b6af6702-6539-497b-b7cd-37bd6b90a639
e3e2b4bb-250f-442f-87c4-35558cb512f6,False,Twickenham,area,51.4453,-0.3375,0,ce222f11-ddbb-4b48-9d1f-e9a503986aef
dbd74f8b-e5a6-480d-8654-f76796982e46,False,Woodford,area,51.6042,0.0325,0,fae607f2-35c3-4130-bb57-883c721f35ef
4405ca8a-c2a0-4040-94c2-877f2b6ced1d,False,Alexandra Palace,area,51.5941,-0.1298,0,6e850287-086b-4a29-a6cf-3ff30148fa1f
bfd8e41d-0402-4aa5-9bdb-4382e3ec894e,False,Bow,area,51.5321,-0.0308,0,67d89b52-1498-413a-9e94-2238edefcc1b
5f526db5-a48e-4d34-b017-e6c833dbb57c,False,Balham,area,51.444,-0.1494,0,4e4ccf29-097c-4187-82c6-39b566620ecb
973e12de-e093-438f-8878-6337a0555ee8,False,Borough,area,51.4881,-0.0763,0,9bbf7c2d-51b3-4eef-8154-73be965cadce
7ff20868-bf74-4699-ab85-c4c337b1a342,False,Dulwich,area,51.4433,-0.0676,0,0b33c31e-2598-4c3d-b56b-b764f17bcaa2
00763a76-7504-4fd1-84e1-57184c44e46f,False,Hoxton,area,51.5311,-0.0866,0,a85c6e8e-c79b-4214-bd8d-398ddbb9aaee
d6a33c82-82e7-4a53-9e7b-755b72e8586e,False,Greenwich,area,51.4934,0.0098,0,62515a08-ea50-4715-8308-1b4123c66442
243b75de-2b66-48a4-a302-4d8800692296,False,Leyton,area,51.5702,-0.0147,0,3cb3534e-58ff-412a-a154-1a6dc6eb365e
d41f64bb-46cf-4fc0-892e-4ebf263897a1,False,Kennington,area,51.488,-0.1119,0,57350661-4de9-4bc0-9f27-fac867289a0a
f54b7658-a904-4e35-bfac-585287f06a64,False,Notting Hill,area,51.516,-0.209,0,61c8767c-33cd-4a9b-aad4-a48c4c78befc
e94443cc-1679-46b0-98dd-9b46f651d6b2,False,Richmond,area,51.4613,-0.3037,0,86e58ea5-30f9-4d42-8574-29944621efc9
4ba994d3-be0f-4955-9926-d41d5b751170,False,Stoke Newington,area,51.5612,-0.0835,0,ec0e7473-5f69-4836-8040-8debbe7b5798
42591133-6127-4928-a6fc-d0f99e2c3d9a,False,Spitalfields,area,51.5189,-0.0748,0,9559146f-b097-4a94-ac59-8134625c8ade
694afc53-63a6-4bb5-b7cd-f45058482cbe,False,Streatham,area,51.4307,-0.1295,0,1571a803-f3a4-452e-b1f8-528c650634fd
fa1a6a3f-9a28-4e98-8114-5daf04677e4b,False,Tooting,area,51.4282,-0.1669,0,413beceb-2352-42b9-9744-4d19e1b85c88
fc02fd90-d848-46ff-95ce-b360722d9315,False,Wimbleon,area,51.4183,-0.2206,0,c0d0ce8d-cae5-48dd-bc45-085cb0edb4d7
